time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
819,-gneE11,gneJ10,gneJ14,0.093612930327088,6.610274509445,86.3333333333333,20,2
858,-gneE11,gneJ10,gneJ14,0.123571017328942,5.00770472293157,86.3333333333333,17,2
1022,-gneE11,gneJ10,gneJ14,0.153682836689793,4.02652098584475,86.3333333333333,45,2
1142,-gneE11,gneJ10,gneJ14,0.205879755484919,3.00567273182394,86.3333333333333,75,2
1181,-gneE11,gneJ10,gneJ14,0.27688610486531,2.23487981600456,86.3333333333333,114,2
1301,-gneE11,gneJ10,gneJ14,0.318364945355849,1.94370384089849,86.3333333333333,20,2
1505,-gneE11,gneJ10,gneJ14,0.426248488056083,2.30918201734063,93.5714285714286,137,2
1783,-gneE11,gneJ10,gneJ14,0.211801714437993,4.64720196505254,93.5714285714286,24,2
1863,-gneE11,gneJ10,gneJ14,0.256972742028788,3.83031031138497,93.5714285714286,17,2
1940,-gneE11,gneJ10,gneJ14,0.31302129083124,3.1444677163139,93.5714285714286,8,2
2059,-gneE11,gneJ10,gneJ14,0.363567453545786,2.70729773509218,93.5714285714286,37,2
2138,-gneE11,gneJ10,gneJ14,0.490163882203134,2.00807399173044,93.5714285714286,116,2
2296,-gneE11,gneJ10,gneJ14,0.287569577389276,1.43703667853066,83.25,11,2
2497,-gneE11,gneJ10,gneJ14,0.35017311191652,1.18012496184021,83.25,39,2
2783,-gneE11,gneJ10,gneJ14,0.791383610872534,3.67601478824222,110.111111111111,325,2
3061,-gneE11,gneJ10,gneJ14,0.672884099204187,2.34435846633131,103.1,40,2
3100,-gneE11,gneJ10,gneJ14,0.530510330133362,1.63342663475449,97.2727272727273,39,2
3140,-gneE11,gneJ10,gneJ14,0.390461097144384,1.25812631139626,92.5,40,2
3221,-gneE11,gneJ10,gneJ14,0.270280378685535,1.0509199822815,88.4615384615385,40,2
3301,-gneE11,gneJ10,gneJ14,0.485674545337049,0.58484236719081,88.4615384615385,39,2
3341,-gneE11,gneJ10,gneJ14,0.460731319923768,0.557791185590546,87.7857142857143,79,2
3383,-gneE11,gneJ10,gneJ14,0.340351957196682,0.455999710289836,84.7333333333333,42,2
3463,-gneE11,gneJ10,gneJ14,0.236214047210275,0.393826719793552,81.9375,40,2
3504,-gneE11,gneJ10,gneJ14,0.160028415714125,0.358106538410229,79.5294117647059,41,2
3543,-gneE11,gneJ10,gneJ14,0.258279613155382,0.221880547591582,79.5294117647059,39,2
3583,-gneE11,gneJ10,gneJ14,0.407539146891026,0.140617711048951,79.5294117647059,79,2
3748,-gneE11,gneJ10,gneJ14,0.798626485318821,0.413711252853647,88.6666666666667,244,2
3827,-gneE11,gneJ10,gneJ14,0.696554264648298,0.274548228380054,86.0526315789474,39,2
3904,-gneE11,gneJ10,gneJ14,0.573682742022556,0.195418992525751,83.7,39,2
3944,-gneE11,gneJ10,gneJ14,0.446944088620416,0.150636648729559,81.6190476190476,40,2
3984,-gneE11,gneJ10,gneJ14,0.556814626504557,0.120913058807221,81.6190476190476,40,2
4104,-gneE11,gneJ10,gneJ14,0.719067941193606,0.09362976128168,81.6190476190476,160,2
4145,-gneE11,gneJ10,gneJ14,0.844441383894813,0.079728635951898,81.6190476190476,201,2
4187,-gneE11,gneJ10,gneJ14,0.968427433385055,0.392824454973546,88.9545454545454,243,2
4230,-gneE11,gneJ10,gneJ14,0.985848938490966,0.385882627497905,88.9545454545454,43,2
