time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
2540,gneE3,gneJ4,gneJ5,0.501610785273793,-3.26157200357782,128,60,68,2,,,,
2562,gneE4,gneJ5,gneJ6,0.660149700685837,-3.43579693924025,171,103,68,2,,,,
2583,gneE5,gneJ6,gneJ7,0.84883065798242,-3.23496238626062,213,146,67,2,,,,
2604,gneE10,gneJ7,gneJ14,0.606011312471034,-4.32436869052886,255,25,230,2,,,,
2626,gneE11,gneJ14,gneJ10,0.438245124473335,-4.81591865825925,299,67,232,2,,,,
2646,gneE8,gneJ10,gneJ11,0.165457519308262,-4.80976623483038,342,107,235,2,,,,
2666,gneE9,gneJ11,gneJ12,0.083230691474476,-4.12016993349996,557,148,409,2,,,,
2687,-gneE9,gneJ12,gneJ11,1,0,41,41,0,1,,,,
2708,-gneE8,gneJ11,gneJ10,0.846071771826099,-2.41605218377765,82,25,57,2,,,,
2729,-gneE11,gneJ10,gneJ14,0.757343337191421,-3.67159706841393,125,65,60,2,,,,
2750,-gneE10,gneJ14,gneJ7,0.469296108093874,-4.93888895183614,167,105,62,2,,,,
2772,-gneE5,gneJ7,gneJ6,0.325068240797931,-5.05494514683757,210,147,63,2,,,,
2794,-gneE4,gneJ6,gneJ5,0.070708759417387,-5.81081511414999,254,38,216,2,,,,
2816,-gneE3,gneJ5,gneJ4,0.197464631829033,-4.83801337680256,298,78,220,2,,,,
2837,-gneE2,gneJ4,gneJ3,0.341771282991603,-3.91698271858563,339,119,220,2,,,,
2859,-gneE1,gneJ3,gneJ2,0.103435727093819,-3.54555600161917,384,161,223,2,,,,
2882,gneE1,gneJ2,gneJ3,1,0,45,45,0,1,,,,
2903,gneE2,gneJ3,gneJ4,0.896564272906181,-1.38593644354293,87,87,0,2,,,,
2924,gneE3,gneJ4,gneJ5,0.48885452531419,-3.96157200357782,130,39,91,2,,,,
2946,gneE4,gneJ5,gneJ6,0.703075534930242,-3.97602682429772,174,80,94,2,,,,
2967,-gneE4,gneJ6,gneJ5,0.070708759417387,-5.81081511414999,43,43,0,2,,,,
2988,-gneE3,gneJ5,gneJ4,0.137233866019216,-5.81448396503785,85,2,83,2,,,,
3007,-gneE2,gneJ4,gneJ3,0.348097881895972,-4.58898271858563,125,41,84,2,,,,
3028,gneE2,gneJ3,gneJ4,0.774626082107295,-2.31093644354293,40,3,37,2,,,,
3049,gneE3,gneJ4,gneJ5,0.540907378596245,-4.42498663772416,82,44,38,2,,,,
3070,gneE4,gneJ5,gneJ6,0.837105074769561,-4.17763972752353,124,99,25,2,,,,
3091,gneE5,gneJ6,gneJ7,0.879051362975378,-3.82733775282953,341,139,202,2,,,,
3112,gneE10,gneJ7,gneJ14,0.549323907658569,-4.85700576624688,383,179,204,2,,,,
3133,gneE11,gneJ14,gneJ10,0.410539493862713,-5.30062454061219,425,219,206,2,,,,
3152,gneE8,gneJ10,gneJ11,0.170324325146362,-5.25492752515296,465,258,207,2,,,,
3173,gneE9,gneJ11,gneJ12,0.107897265185299,-4.5284539571686,507,300,207,2,,,,
3195,-gneE9,gneJ12,gneJ11,1,-0.767441860465116,43,10,33,1,,,,
3215,-gneE8,gneJ11,gneJ10,0.816145888620821,-3.03800340328985,82,31,51,2,,,,
3236,-gneE11,gneJ10,gneJ14,0.762054354655665,-4.09095190712361,124,72,52,2,,,,
3257,-gneE10,gneJ14,gneJ7,0.510613025771736,-5.25816606026988,166,113,53,2,,,,
3279,-gneE5,gneJ7,gneJ6,0.386725551954944,-5.31810304157441,209,154,55,2,,,,
3301,-gneE4,gneJ6,gneJ5,0.099239830966299,-6.03303733637221,252,196,56,2,,,,
3322,-gneE3,gneJ5,gneJ4,0.137747821053211,-6.01176287660248,294,236,58,2,,,,
3343,-gneE2,gneJ4,gneJ3,0.415185933454291,-4.76755414715706,336,276,60,2,,,,
3364,-gneE1,gneJ3,gneJ2,0.16701989993495,-3.91783322934195,505,317,188,2,,,,
3388,gneE1,gneJ2,gneJ3,1,-0.977777777777778,45,1,44,1,,,,
3408,gneE2,gneJ3,gneJ4,0.74497955656431,-2.84582016447317,86,40,46,2,,,,
3429,gneE3,gneJ4,gneJ5,0.493845313240588,-4.79217413772416,128,81,47,2,,,,
3451,-gneE3,gneJ5,gneJ4,0.05799730884538,-6.9652512486955,43,2,41,2,,,,
3472,-gneE2,gneJ4,gneJ3,0.388987433968326,-5.24374462334753,84,44,40,2,,,,
3493,-gneE1,gneJ3,gneJ2,0.196969089253498,-4.25116656267528,129,86,43,2,,,,
3516,gneE1,gneJ2,gneJ3,1,-0.977777777777778,44,44,0,1,,,,
3537,gneE2,gneJ3,gneJ4,0.803030910746501,-2.84582016447317,86,86,0,2,,,,
3557,gneE3,gneJ4,gneJ5,0.534711694015484,-5.10467413772416,128,88,40,2,,,,
3579,gneE4,gneJ5,gneJ6,0.889037277450564,-4.8843063941902,300,88,212,2,,,,
3600,gneE5,gneJ6,gneJ7,0.812766940506355,-4.5649470822756,343,90,253,2,,,,
3619,gneE10,gneJ7,gneJ14,0.385611832440305,-5.78389871663852,383,28,355,2,,,,
3641,gneE11,gneJ14,gneJ10,0.266599960792501,-6.27010810868731,426,13,413,2,,,,
3662,gneE8,gneJ10,gneJ11,0.114219825288842,-6.13929583350414,467,54,413,2,,,,
3683,gneE9,gneJ11,gneJ12,0.090939660263741,-5.34021866305095,510,96,414,2,,,,
3704,-gneE9,gneJ12,gneJ11,1,-0.767441860465116,42,42,0,1,,,,
3725,-gneE8,gneJ11,gneJ10,0.909060339736259,-3.03800340328985,84,84,0,2,,,,
3746,-gneE11,gneJ10,gneJ14,0.861507964875533,-4.31142434806849,127,99,28,2,,,,
3767,-gneE10,gneJ14,gneJ7,0.650837028764678,-5.64738761715611,167,102,65,2,,,,
3788,-gneE5,gneJ7,gneJ6,0.405862997872702,-6.16499299372752,209,32,177,2,,,,
3810,-gneE4,gneJ6,gneJ5,0.102689231551782,-6.73264207945522,253,76,177,2,,,,
3832,-gneE3,gneJ5,gneJ4,0.048685184579506,-7.85677667242431,295,32,263,2,,,,
3853,-gneE2,gneJ4,gneJ3,0.284458286442335,-6.02712741266504,337,73,264,2,,,,
3874,-gneE1,gneJ3,gneJ2,0.108756220111043,-4.94932929233407,381,115,266,2,,,,
3897,gneE1,gneJ2,gneJ3,1,-0.977777777777778,44,44,0,1,,,,
3918,gneE2,gneJ3,gneJ4,0.891243779888957,-2.84582016447317,86,86,0,2,,,,
3940,gneE3,gneJ4,gneJ5,0.69962865971827,-5.18159721464724,130,120,10,2,,,,
3960,gneE4,gneJ5,gneJ6,0.93559302532858,-5.18081802209717,172,121,51,2,,,,
3981,gneE5,gneJ6,gneJ7,0.767764727848694,-5.53690969909803,214,6,208,2,,,,
4002,gneE10,gneJ7,gneJ14,0.393790707922883,-6.59639871663852,256,48,208,2,,,,
4023,gneE11,gneJ14,gneJ10,0.209586699813081,-6.97480609526449,298,88,210,2,,,,
4045,-gneE11,gneJ10,gneJ14,0.861507964875533,-4.31142434806849,43,43,0,2,,,,
4066,-gneE10,gneJ14,gneJ7,0.790413300186919,-5.64738761715611,85,85,0,2,,,,
4087,-gneE5,gneJ7,gneJ6,0.540831167853762,-6.43270952916059,127,93,34,2,,,,
4109,-gneE4,gneJ6,gneJ5,0.162530473601229,-7.17642906170374,169,94,75,2,,,,
4137,gneE4,gneJ5,gneJ6,0.864825200051982,-6.00081802209717,50,9,41,2,,,,
4158,gneE5,gneJ6,gneJ7,0.676415106624911,-6.43908361214151,92,9,83,2,,,,
4179,gneE10,gneJ7,gneJ14,0.2517948904312,-7.52177185096688,134,10,124,2,,,,
