time,edge,probability (value_exp),denominator,expect,true,no.of neighbours
5627,gneE3,0.988693416761899,130.328246665006,38.5263157894737,44,2
5672,gneE3,0.990332780557002,152.429266541677,38.85,45,2
5715,gneE3,0.991255260994796,168.508993615099,39.0476190476191,43,2
5760,gneE3,0.992422972953173,194.478277573364,39.3181818181818,45,2
5804,gneE3,0.993229183955852,217.635091484633,39.5217391304348,44,2
5849,gneE3,0.994061929686805,248.155897702877,39.75,45,2
5894,gneE3,0.994761883544559,281.316229169185,39.96,45,2
6152,gneE3,0.99512853926898,302.489797323114,40.0769230769231,43,2
6194,gneE3,0.995347112499494,316.699505206953,40.1481481481481,42,2
6238,gneE3,0.995755180472628,347.144833765427,40.2857142857143,44,2
6281,gneE3,0.996020865658333,370.323553483369,40.3793103448276,43,2
6324,gneE3,0.996261431344528,394.152764063068,40.4666666666667,43,2
6366,gneE3,0.996395391823052,408.800928383069,40.5161290322581,42,2
6409,gneE3,0.996602145545037,433.675776501061,40.59375,43,2
6452,gneE3,0.996791008768094,459.199499999473,40.6666666666667,43,2
6495,gneE3,0.996964019264005,485.367759987093,40.7352941176471,43,2
6537,gneE3,0.997053872809809,500.170927480612,40.7714285714286,42,2
6582,gneE3,0.997334931230739,552.919003888292,40.8888888888889,45,2
6630,gneE3,0.997747091640678,654.07328402698,41.0810810810811,48,2
6672,gneE3,0.997795493817002,668.434128494818,41.1052631578947,42,2
6717,gneE3,0.997989063701075,732.77665233939,41.2051282051282,45,2
6761,gneE3,0.998117297350236,782.68714891238,41.275,44,2
6805,gneE3,0.998234350155923,834.5749720063,41.3414634146342,44,2
6849,gneE3,0.998341445592078,888.464775201461,41.4047619047619,44,2
6895,gneE3,0.99851116620855,989.745919024647,41.5116279069767,46,2
6939,gneE3,0.998595648242152,1049.28637783189,41.5681818181818,44,2
6984,gneE3,0.99870422595966,1137.20997899191,41.6444444444444,45,2
7028,gneE3,0.998773809755042,1201.7443257703,41.695652173913,44,2
7071,gneE3,0.998810714964246,1239.03616449703,41.7234042553192,43,2
7115,gneE3,0.998872449547172,1306.87470835406,41.7708333333333,44,2
7160,gneE3,0.998954474220974,1409.40299967283,41.8367346938776,45,2
7204,gneE3,0.999006031054955,1482.50825796879,41.88,44,2
7248,gneE3,0.999054063920602,1557.78725570064,41.921568627451,44,2
7294,gneE3,0.99913992221049,1713.2952241846,42,46,2
7338,gneE3,0.9991791146705,1795.09502270118,42.0377358490566,44,2
7380,gneE3,0.999178391699297,1793.51543543605,42.037037037037,42,2
7423,gneE3,0.99919664203334,1834.25973270692,42.0545454545455,43,2
7465,gneE3,0.999195618818997,1831.92645973704,42.0535714285714,42,2
