robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,71750,-gneE1,0.5,390,8,2
bot_0,71794,-gneE1,0.5,87,7,2
bot_0,72139,-gneE1,0.5,389,9,2
bot_0,72181,-gneE1,0.5,86,8,2
bot_0,72521,-gneE1,0.5,382,8,2
bot_0,72566,-gneE1,0.5,88,7,2
bot_0,72907,-gneE1,0.5,386,10,2
bot_0,72947,-gneE1,0.5,83,8,2
bot_0,73289,-gneE1,0.5,382,8,2
bot_0,73333,-gneE1,0.5,89,9,2
bot_0,73672,-gneE1,0.5,383,9,2
bot_0,73716,-gneE1,0.5,89,8,2
bot_0,74057,-gneE1,0.5,385,8,2
bot_0,74101,-gneE1,0.5,89,8,2
bot_0,74440,-gneE1,0.5,383,7,2
bot_0,74484,-gneE1,0.5,86,8,2
bot_0,74828,-gneE1,0.5,388,8,2
bot_0,74872,-gneE1,0.5,87,9,2
bot_0,75214,-gneE1,0.5,386,8,2
bot_0,75257,-gneE1,0.5,88,8,2
bot_0,75598,-gneE1,0.5,384,9,2
bot_0,75639,-gneE1,0.5,83,8,2
bot_0,75975,-gneE1,0.5,377,9,2
bot_0,76020,-gneE1,0.5,86,9,2
bot_0,76359,-gneE1,0.5,384,9,2
bot_0,76403,-gneE1,0.5,88,8,2
bot_0,76741,-gneE1,0.5,382,8,2
bot_0,76786,-gneE1,0.5,85,8,2
bot_0,77129,-gneE1,0.5,388,9,2
bot_0,77175,-gneE1,0.5,89,9,2
bot_0,77516,-gneE1,0.5,387,7,2
bot_0,77562,-gneE1,0.5,88,8,2
bot_0,77896,-gneE1,0.5,380,9,2
bot_0,77938,-gneE1,0.5,83,9,2
bot_0,78283,-gneE1,0.5,387,8,2
bot_0,78327,-gneE1,0.5,85,9,2
bot_0,78660,-gneE1,0.5,377,7,2
bot_0,78705,-gneE1,0.5,85,9,2
bot_0,79042,-gneE1,0.5,382,8,2
bot_0,79087,-gneE1,0.5,85,10,2
bot_0,79419,-gneE1,0.5,377,9,2
bot_0,79459,-gneE1,0.5,83,7,2
bot_0,79795,-gneE1,0.5,376,8,2
bot_0,79837,-gneE1,0.5,83,9,2
bot_0,80175,-gneE1,0.5,380,7,2
bot_0,80221,-gneE1,0.5,86,8,2
