time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
4003,14to19,14,19,0.345969397450096,-2.20343885694879,455,10,445,3,,,,
4019,19to18,19,18,0.442222646088146,-1.82523494001992,516,70,446,3,,,,
4035,18to13,18,13,0.212920248547389,-1.65808901716543,454,102,352,4,,,,
4052,13to8,13,8,0.475820501093296,-0.856525157232704,131,131,0,4,,,,
4067,8to9,8,9,0.536887005980516,-0.85451197053407,97,97,0,4,,,,
4082,9to8,9,8,0.320658312565807,-2.01357648131716,30,30,0,3,,,,
4097,8to3,8,3,0.22097931362278,-1.7422305321138,159,159,0,4,,,,
4112,3to2,3,2,0.275447931069205,-1.76072468969228,257,200,57,3,,,,
4126,2to7,2,7,0.734023347907295,-0.716216216216216,222,63,159,3,,,,
4142,7to6,7,6,0.254846765288411,-1.7384015965029,255,63,192,4,,,,
4158,6to1,6,1,0.251530564603989,-2.02925661629432,287,63,224,4,,,,
4174,1to0,1,0,0.09852295908737,-3.07923101404482,349,62,287,3,,,,
4192,0to5,0,5,0.174996271605767,-3.45466566610612,382,65,317,2,,,,
4208,5to10,5,10,0.275349984790817,-2.64923096467956,548,64,484,3,,,,
4223,10to5,10,5,0.477153013702882,-1.29014767181469,31,31,0,3,,,,
4240,5to6,5,6,0.360930725651642,-2.37858788093551,98,98,0,3,,,,
4256,6to11,6,11,0.121705492392491,-2.89414554252285,479,96,383,4,,,,
4272,11to16,11,16,0.106989983282504,-2.47998036290728,516,32,484,4,,,,
4288,16to17,16,17,0.24297666712985,-1.13961175436585,549,197,352,4,,,,
4304,17to12,17,12,0.347493782377962,-1.22840579710145,675,198,477,4,,,,
4320,12to13,12,13,0.144111946326808,-2.66544415336985,285,33,252,4,,,,
4336,13to8,13,8,0.300519558988995,-1.6045566532957,254,64,190,4,,,,
4352,8to9,8,9,0.37394223457386,-1.51766986527091,285,96,189,4,,,,
4368,9to14,9,14,0.327410565916159,-2.26171581170548,381,128,253,3,,,,
4385,14to19,14,19,0.228757942833325,-2.7819728883624,382,161,221,3,,,,
4402,19to24,19,24,0.164360096930247,-3.05068324604944,870,33,837,3,,,,
4419,24to23,24,23,0.270813765317411,-2.6347554609148,902,66,836,2,,,,
4435,23to18,23,18,0.388280428745451,-1.66156674208145,416,131,285,3,,,,
4452,18to17,18,17,0.135277583748727,-2.26951244405279,164,30,134,4,,,,
4467,17to22,17,22,0.184292686080693,-2.07525187170718,744,129,615,4,,,,
4484,22to21,22,21,0.19640475927737,-2.35827554981055,776,293,483,3,,,,
4500,21to20,21,20,0.183127914842442,-2.68195562322071,807,28,779,3,,,,
4515,20to15,20,15,0.408940688484519,-2.92645551982474,839,61,778,2,,,,
4531,15to16,15,16,0.395188656070671,-1.56852845088139,259,93,166,3,,,,
4547,16to11,16,11,0.100585847757539,-2.02225905590753,291,289,2,4,,,,
4563,11to6,11,6,0.205888494192512,-2.05790740842215,323,58,265,4,,,,
4580,6to1,6,1,0.157125496739732,-2.80887746937488,422,93,329,4,,,,
4595,1to2,1,2,0.454921559321505,-1.95335020648282,483,126,357,3,,,,
4611,2to7,2,7,0.550007083749731,-1.53064920590694,485,90,395,3,,,,
4627,7to12,7,12,0.128907119091596,-2.54701433337373,323,91,232,4,,,,
4643,12to17,12,17,0.257499755421769,-2.08501578568538,191,191,0,4,,,,
4657,17to18,17,18,0.173641159470793,-2.23125082588604,222,120,102,4,,,,
4674,18to19,18,19,0.2415148792595,-1.8654627857558,289,120,169,4,,,,
4689,19to14,19,14,0.167910988161178,-3.16829119764803,321,117,204,3,,,,
4705,14to13,14,13,0.351284030170684,-2.65428432190103,385,118,267,3,,,,
4721,13to8,13,8,0.153532094757114,-2.46689431563336,385,53,332,4,,,,
4737,8to3,8,3,0.151801673605017,-2.6094180321138,640,85,555,4,,,,
4753,3to4,3,4,0.022950622763222,-4.2761815323711,799,118,681,3,,,,
4769,4to9,4,9,0.23955246124218,-3.09225187377818,417,150,267,2,,,,
4786,9to14,9,14,0.327410565916159,-2.26171581170548,97,97,0,3,,,,
4802,14to19,14,19,0.201927146343117,-3.3522853883624,128,55,73,3,,,,
4819,19to18,19,18,0.482228318472732,-2.48572876718042,162,55,107,3,,,,
4835,18to23,18,23,0.173176863908571,-2.36470093430706,416,118,298,4,,,,
4853,23to24,23,24,0.250855325061033,-2.33789104784913,451,121,330,3,,,,
4869,24to19,24,19,0.729186234682589,-1.64425766736493,67,67,0,2,,,,
4885,19to18,19,18,0.482228318472732,-2.48572876718042,66,66,0,3,,,,
4901,18to13,18,13,0.270520541506142,-2.03564003757359,196,122,74,4,,,,
4916,13to12,13,12,0.069610190445047,-3.32822642172125,289,82,207,4,,,,
4933,12to11,12,11,0.371736113035865,-1.90615265056033,386,215,171,4,,,,
4950,11to16,11,16,0.065413283576269,-3.28188967078317,419,83,336,4,,,,
4965,16to15,16,15,0.199987600988074,-1.56061681283314,450,82,368,4,,,,
4982,15to10,15,10,0.262974021509993,-2.20368093250709,774,248,526,3,,,,
4999,10to5,10,5,0.282327321237278,-2.13164251717552,776,123,653,3,,,,
5017,5to0,5,0,0.196079925609024,-3.22261158501352,843,125,718,3,,,,
5033,0to1,0,1,0.69515977436215,-2.63031174477586,453,124,329,2,,,,
5050,1to2,1,2,0.333389905357273,-2.46543811857073,455,222,233,3,,,,
5067,2to7,2,7,0.437024205008775,-1.98459657432799,456,249,207,3,,,,
5084,7to6,7,6,0.168925001738618,-2.43321925485223,521,159,362,4,,,,
5099,6to5,6,5,0.389010946332886,-1.90231481481481,100,100,0,4,,,,
5114,5to10,5,10,0.347895789741383,-2.64923096467956,132,132,0,3,,,,
5129,10to5,10,5,0.282327321237278,-2.13164251717552,30,30,0,3,,,,
5145,5to0,5,0,0.196079925609024,-3.22261158501352,128,128,0,3,,,,
5160,0to1,0,1,0.546504859518444,-3.26810702036641,127,46,81,2,,,,
5177,1to6,1,6,0.292478164424039,-2.91619434018238,93,16,77,3,,,,
5193,6to11,6,11,0.140525502098004,-2.92491477329208,260,252,8,4,,,,
5207,11to12,11,12,0.243105414622818,-2.00431534675004,291,251,40,4,,,,
5223,12to17,12,17,0.203412897257902,-2.65398130292676,580,250,330,4,,,,
5239,17to22,17,22,0.110510566613901,-2.79286845201806,772,218,554,4,,,,
5256,22to23,22,23,0.510106948482453,-1.63144427798475,421,250,171,3,,,,
5273,23to18,23,18,0.421193821495018,-1.95280385548351,388,275,113,3,,,,
5289,18to19,18,19,0.264646359152385,-2.13689135718437,420,306,114,4,,,,
5304,19to14,19,14,0.108742374546755,-4.1393336686905,518,15,503,3,,,,
5320,14to9,14,9,0.20545379963803,-3.60298450451308,551,47,504,3,,,,
5336,9to8,9,8,0.252811192878596,-2.7729260748131,615,148,467,3,,,,
5353,8to7,8,7,0.156554143118913,-2.64499370841182,286,182,104,4,,,,
5369,7to2,7,2,0.388906245473488,-1.8511288998358,319,143,176,4,,,,
5385,2to3,2,3,0.136595525704399,-3.29699903989058,648,143,505,3,,,,
5400,3to8,3,8,0.693098312948685,-0.86835474930713,64,64,0,3,,,,
5417,8to13,8,13,0.100976313076822,-3.19755996926061,516,110,406,4,,,,
5433,13to18,13,18,0.35619382547945,-1.81846867396594,160,110,50,4,,,,
5449,18to17,18,17,0.130400479901666,-2.96862748830058,226,68,158,4,,,,
5465,17to22,17,22,0.066418129388987,-3.35039057591187,226,100,126,4,,,,
5482,22to23,22,23,0.41793696873352,-2.00312569391395,226,142,84,3,,,,
5498,23to24,23,24,0.162362858577152,-3.06657321839177,645,175,470,3,,,,
5514,24to19,24,19,0.713102015908067,-1.72425766736493,225,207,18,2,,,,
5530,19to18,19,18,0.568264199140993,-2.48572876718042,97,97,0,3,,,,
5546,18to13,18,13,0.331490045474423,-2.03564003757359,129,129,0,4,,,,
5562,13to8,13,8,0.186242463985358,-2.46689431563336,162,162,0,4,,,,
5578,8to9,8,9,0.541734521837213,-1.51766986527091,258,258,0,4,,,,
5593,9to4,9,4,0.209521265086256,-3.11966992215595,840,336,504,3,,,,
5609,4to3,4,3,0.76044753875782,-1.93711718474189,224,224,0,2,,,,
5623,3to2,3,2,0.283951064288092,-1.76072468969228,254,254,0,3,,,,
5640,2to1,2,1,0.224633970263121,-2.98509431700261,480,170,310,3,,,,
