time,edge,old node,possible nodes,probability (value_exp),value_coeff,expect,true,no.of neighbours
18234,-gneE8,gneJ11,gneJ10,0.679602516505977,0.56845607458588,56,42,2
18273,-gneE8,gneJ11,gneJ10,0.318465508715728,0.56845607458588,56,39,2
18313,-gneE8,gneJ11,gneJ10,0.409025536044603,0.961293540150618,56.71875,79,2
18352,-gneE8,gneJ11,gneJ10,0.639164313448917,0.961293540150618,56.71875,39,2
18393,-gneE8,gneJ11,gneJ10,0.724097540427726,1.35443338183927,57.4242424242424,80,2
18635,-gneE8,gneJ11,gneJ10,0.660992685248001,1.05727575910025,56.9117647058824,40,2
879,gneE9,gneJ11,gneJ12,0.5,0.5,0,879,2
920,gneE9,gneJ11,gneJ12,0.5,0.5,0,920,2
961,gneE9,gneJ11,gneJ12,0.5,0.5,961,961,2
1002,gneE9,gneJ11,gneJ12,0.377540668798145,0.5,961,41,2
2207,gneE9,gneJ11,gneJ12,0.425557483188341,0.5,961,1246,2
2247,gneE9,gneJ11,gneJ12,0.461237262053354,0.644637294170004,1123.5,1286,2
2286,gneE9,gneJ11,gneJ12,0.366744680598172,0.644637294170004,1123.5,39,2
2326,gneE9,gneJ11,gneJ12,0.428751084211493,0.644637294170004,1123.5,79,2
2366,gneE9,gneJ11,gneJ12,0.243044310480779,-0.204475131865498,788.666666666667,119,2
2406,gneE9,gneJ11,gneJ12,0.17913785180604,-0.204475131865498,788.666666666667,40,2
5187,gneE9,gneJ11,gneJ12,0.226796611947751,-0.204475131865498,788.666666666667,2821,2
5227,gneE9,gneJ11,gneJ12,0.274515872625039,-0.204475131865498,788.666666666667,2861,2
5267,gneE9,gneJ11,gneJ12,0.323737466188,-0.204475131865498,788.666666666667,2901,2
5837,gneE9,gneJ11,gneJ12,0.655198801177447,1.17414402180933,1459.25,3471,2
5874,gneE9,gneJ11,gneJ12,0.553383274653073,1.17414402180933,1459.25,37,2
5914,gneE9,gneJ11,gneJ12,0.327271840651762,0.239243785082923,1182.8,77,2
5953,gneE9,gneJ11,gneJ12,0.247001685508715,0.239243785082923,1182.8,39,2
5994,gneE9,gneJ11,gneJ12,0.298611431986862,0.239243785082923,1182.8,80,2
